blockName,zone,qty,categoryLike
3 IN.GYPSUM - DIVIDER,misc,6,FS-PT-GYP-75
3 IN.GYPSUM - DIVIDER,WORKHALL,2,FS-PT-GYP-75
4INCH WALL,FEMALE WASHROOM,1,FS-WL-SIP-4
4INCH WALL,MALE WASHROOM,1,FS-WL-SIP-4
6 INCH SIPOREX WALL,MALE WASHROOM,1,FS-WL-SIP-6
6 INCH SIPOREX WALL,misc,1,FS-WL-SIP-6
6 INCH SIPOREX WALL L BLOCK,FEMALE WASHROOM,1,FS-WL-SIP-6
6 INCH SIPOREX WALL L BLOCK,MALE WASHROOM,1,FS-WL-SIP-6
CAFE TABLE RECT,PANTRY,1,FS-FUR-MD
CONFERENCE TABLE - CUSTOM,MEETING ROOM 8 PAX,1,FS-FUR-CSTM
DECORATIVE PENDANT LIGHT- DOME,PANTRY,1,FS- LNR LT
DESIGNER GLASS PARTITION,PANTRY,1,FS-PT-DSN-GL
EXISTING WALL,misc,10,FS-WL-SIP-EX
GLASS FACADE,misc,1,FS-FSD-GL
GLASS FLOOR SPRING SINGLE LEAF1,misc,1,FS-DOOR
glass partition1,misc,3,FS-PT-GL-SWTCH
glass partition1,WORKHALL,2,FS-PT-GL-SWTCH
HEALTH FAUCET 2,FEMALE WASHROOM,1,FS-SNT FIX
HEALTH FAUCET 2,MALE WASHROOM,1,FS-SNT FIX
INTERACTIVE TABLE,WORKHALL,1,FS-FUR-LS
KITCHEN ACCESSORIES -(FRIDGE),PANTRY,1,FS-PN-WHT GD
Linear Double Side Workstation without pedestal,ENCLOSED CABIN,4,0
LINEAR SUSPENDED  TASK LIGHT,WORKHALL,9,FS- LNR LT
LOCKER ROOM,PANTRY,1,FS-FUR-CSTM
PAPER HOLDER,FEMALE WASHROOM,1,FS-SNT FIX
PAPER HOLDER,MALE WASHROOM,1,FS-SNT FIX
PARTITION WITH LINEAR WORKSTATION W-O PEDESTAL,WORKHALL,18,0
PEDESTAL WITH 3 DRAWER,ENCLOSED CABIN,8,0
PEDESTAL WITH 3 DRAWER,WORKHALL,18,0
PHINOLIC CUBICAL,MALE WASHROOM,1,FS-SNT FIX
RECEPTION TABLE - BUDGET,RECEPTION,1,FS-FUR-CSTM
SERVER RACK,WORKHALL,1,SERVER
SINGLE LEAF GLASS DOOR,ENCLOSED CABIN,1,FS-DOOR
SINGLE LEAF GLASS DOOR,MEETING ROOM 8 PAX,1,FS-DOOR
SINGLE LEAF GLASS DOOR,RECEPTION,4,FS-DOOR
SS SINK-SINGLE BOWL,PANTRY,1,FS-SNT FIX
TOILET FLUSH DOOR,FEMALE WASHROOM,1,FS-DOOR
TOILET FLUSH DOOR,MALE WASHROOM,1,FS-DOOR
TV SCREEN,MEETING ROOM 8 PAX,1,FS-PN-WHT GD
TV SCREEN,misc,3,FS-PN-WHT GD
TV SCREEN,WORKHALL,2,FS-PN-WHT GD
URINAL,MALE WASHROOM,2,FS-SNT FIX
URINAL FROSTED GLASS PARTITION,MALE WASHROOM,1,FS-SNT FIX
WALL MOUNTED TANK WC,FEMALE WASHROOM,1,FS-SNT FIX
WALL MOUNTED TANK WC,MALE WASHROOM,1,FS-SNT FIX
WASH BASIN-COUNTER TOP,FEMALE WASHROOM,1,FS-SNT FIX
WASH BASIN-COUNTER TOP,MALE WASHROOM,2,FS-SNT FIX
